parameter_set_id,parameter_version,event_path_id,event_id,run_id,scene_id,prn,tracking_channel,center_window_id,path_id,estimate_stage,path_role,is_multipath,label_value,event_utc,environment_class,special_condition,road_type,elevation_deg,elevation_band,azimuth_deg,nmea_snr_db_hz,geometry_join_valid,geometry_time_delta_s,environment_modeling_ready,elevation_modeling_ready,excess_delay_samples,excess_delay_chips,excess_delay_s,excess_path_length_m,doppler_offset_hz,relative_doppler_hz,relative_power_db,source_power_field,source_file,source_file_sha256,source_row_number,parameter_source_status
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_76__path_2,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,8,76,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:31:55.500Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,225,46,1,0.49,1,1,1.1,0.11,1.0752688172e-07,32.235748172,-15.3356979047,-15.3356979047,-5.42357074079,mean_relative_power_db,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,6919625976b9d1027b5c91563fddee29c80a891508960a5b09efe8a11ee9cbfb,8,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_2093__path_2,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_2093,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,8,2093,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:32:35.840Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,224,36,1,0.15,1,1,1.9,0.19,1.85728250244e-07,55.6799286608,-2.06020001075,-2.06020001075,-0.971023214366,mean_relative_power_db,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,6919625976b9d1027b5c91563fddee29c80a891508960a5b09efe8a11ee9cbfb,10,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_432__path_2,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_432,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,8,432,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:32:02.620Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,225,47,1,0.37,1,1,1.1,0.11,1.0752688172e-07,32.235748172,-17.3515583851,-17.3515583851,-7.75194332455,mean_relative_power_db,scenes/F1023_V70_D0120_P7/sage_results/nav_sage_v2/G31/stage4_joint_paths.csv,6919625976b9d1027b5c91563fddee29c80a891508960a5b09efe8a11ee9cbfb,12,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P8__G18__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_848__path_2,F1023_V70_D0120_P8__G18__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_848,F1023_V70_D0120_P8__G18__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G18,9,848,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:34:10.940Z,Urban,general urban road,urban road,74,HIGH,125,46,1,0.05,1,1,1.1,0.11,1.0752688172e-07,32.235748172,6.70293056612,6.70293056612,-6.56397575035,mean_relative_power_db,scenes/F1023_V70_D0120_P8/sage_results/nav_sage_v2/G18/stage4_joint_paths.csv,4bed5efd8efd9bc64e8daab002503be65dc8eadc3ca515e86aa786735b79f63f,9,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P8__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_299__path_2,F1023_V70_D0120_P8__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_299,F1023_V70_D0120_P8__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G26,3,299,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:33:59.960Z,Urban,general urban road,urban road,74,HIGH,229,47,1,1.03,1,1,1.1,0.11,1.0752688172e-07,32.235748172,14.6643020953,14.6643020953,-6.99000181937,mean_relative_power_db,scenes/F1023_V70_D0120_P8/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,8e1090a0d2201a463f4a481c05f7086fb9c32a6774b8eafd77788247be5f76f1,4,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G16__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_2565__path_2,F1023_V70_D0120_P9__G16__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_2565,F1023_V70_D0120_P9__G16__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G16,9,2565,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:36:21.280Z,Special Reflective,bridge over wide water surface,bridge over water,51,MID,299,44,1,0.28,1,1,1,0.1,9.77517106549e-08,29.3052256109,-0.335697904715,-0.335697904715,-6.99350764374,mean_relative_power_db,scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G16/stage4_joint_paths.csv,36671032256780cc40ce54373e77b7a348bf6fb4dd4efea4b9ad9f37064f172e,4,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_2285__path_2,F1023_V70_D0120_P9__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_2285,F1023_V70_D0120_P9__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G26,6,2285,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:36:15.680Z,Special Reflective,bridge over wide water surface,bridge over water,73,HIGH,225,49,1,0.32,1,1,1.8,0.18,1.75953079179e-07,52.7494060997,-29.454645324,-29.454645324,-19.5143035547,mean_relative_power_db,scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G26/stage4_joint_paths.csv,543c95e93a88fedaf273fe7d9725396816e5cbbf7212346528bdc9412714698e,8,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_823__path_2,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_823,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,5,823,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:36:16.440Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,271,38,1,0.44,1,1,2.7,0.27,2.63929618768e-07,79.1241091496,61.1312042917,61.1312042917,-5.90480848254,mean_relative_power_db,scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G27/stage4_joint_paths.csv,02d2f4ab9ac1ba89a19e5163bbc7448e4d793fc9db8d953721a0ef50322bfbaa,3,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_822__path_2,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_822,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,5,822,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:36:16.420Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,271,38,1,0.42,1,1,2.6,0.26,2.54154447703e-07,76.1935865885,60.9873821455,60.9873821455,-6.55295075544,mean_relative_power_db,scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G27/stage4_joint_paths.csv,02d2f4ab9ac1ba89a19e5163bbc7448e4d793fc9db8d953721a0ef50322bfbaa,5,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_845__path_2,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_845,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,5,845,2,stage4_joint,multipath,1,confirmed_multipath,2026-01-20T15:36:16.880Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,271,36,1,0.12,1,1,2.6,0.26,2.54154447703e-07,76.1935865885,54.2952915097,54.2952915097,-2.29558115603,mean_relative_power_db,scenes/F1023_V70_D0120_P9/sage_results/nav_sage_v2/G27/stage4_joint_paths.csv,02d2f4ab9ac1ba89a19e5163bbc7448e4d793fc9db8d953721a0ef50322bfbaa,7,complete
