parameter_set_id,parameter_version,event_id,run_id,scene_id,prn,center_window_id,event_utc,environment_class,special_condition,road_type,elevation_deg,elevation_band,environment_modeling_ready,elevation_modeling_ready,confirmed_path_count,elevation_modeling_ready_path_count,max_excess_delay_chips,median_excess_delay_chips,mean_excess_delay_chips,max_excess_delay_s,max_excess_path_length_m,min_relative_doppler_hz,max_relative_doppler_hz,relative_doppler_span_hz,median_relative_doppler_hz,min_relative_power_db,max_relative_power_db,median_relative_power_db,parameter_source_status
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_124,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,124,2026-01-20T15:27:20.460Z,Urban,low-rise residential area,urban residential road,,,1,0,1,0,0.11,0.11,0.11,1.0752688172e-07,32.235748172,9.66430209529,9.66430209529,0,9.66430209529,-12.5674704012,-12.5674704012,-12.5674704012,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1__event_286,F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,286,2026-01-20T15:27:23.700Z,Urban,low-rise residential area,urban residential road,,,1,0,1,0,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-5.33569790471,-5.33569790471,0,-5.33569790471,-6.03250890184,-6.03250890184,-6.03250890184,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_417,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G18,417,2026-01-20T15:32:02.320Z,Urban,tram infrastructure and moving tram,urban tram road,74,HIGH,1,1,1,1,0.1,0.1,0.1,9.77517106549e-08,29.3052256109,-5.38479989099,-5.38479989099,0,-5.38479989099,-4.73078763184,-4.73078763184,-4.73078763184,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1__event_84,F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G18,84,2026-01-20T15:31:55.660Z,Urban,tram infrastructure and moving tram,urban tram road,74,HIGH,1,1,1,1,0.1,0.1,0.1,9.77517106549e-08,29.3052256109,-5.33569790471,-5.33569790471,0,-5.33569790471,-6.63445699394,-6.63445699394,-6.63445699394,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_2093,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,2093,2026-01-20T15:32:35.840Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,1,1,1,1,0.19,0.19,0.19,1.85728250244e-07,55.6799286608,-2.06020001075,-2.06020001075,0,-2.06020001075,-0.971023214366,-0.971023214366,-0.971023214366,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_432,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,432,2026-01-20T15:32:02.620Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-17.3515583851,-17.3515583851,0,-17.3515583851,-7.75194332455,-7.75194332455,-7.75194332455,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_74,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,74,2026-01-20T15:31:55.460Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,1,1,1,1,0.15,0.15,0.15,1.46627565982e-07,43.9578384164,-15.3356979047,-15.3356979047,0,-15.3356979047,-10.6563797918,-10.6563797918,-10.6563797918,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_75,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,75,2026-01-20T15:31:55.480Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,1,1,1,1,0.35,0.35,0.35,3.42130987292e-07,102.568289638,-10.3356979047,-10.3356979047,0,-10.3356979047,-13.7590184841,-13.7590184841,-13.7590184841,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,76,2026-01-20T15:31:55.500Z,Urban,tram infrastructure and moving tram,urban tram road,30,MID,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,-15.3356979047,-15.3356979047,0,-15.3356979047,-5.42357074079,-5.42357074079,-5.42357074079,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P8__G18__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_848,F1023_V70_D0120_P8__G18__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G18,848,2026-01-20T15:34:10.940Z,Urban,general urban road,urban road,74,HIGH,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,6.70293056612,6.70293056612,0,6.70293056612,-6.56397575035,-6.56397575035,-6.56397575035,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P8__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_299,F1023_V70_D0120_P8__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G26,299,2026-01-20T15:33:59.960Z,Urban,general urban road,urban road,74,HIGH,1,1,1,1,0.11,0.11,0.11,1.0752688172e-07,32.235748172,14.6643020953,14.6643020953,0,14.6643020953,-6.99000181937,-6.99000181937,-6.99000181937,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G16__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_2565,F1023_V70_D0120_P9__G16__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G16,2565,2026-01-20T15:36:21.280Z,Special Reflective,bridge over wide water surface,bridge over water,51,MID,1,1,1,1,0.1,0.1,0.1,9.77517106549e-08,29.3052256109,-0.335697904715,-0.335697904715,0,-0.335697904715,-6.99350764374,-6.99350764374,-6.99350764374,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_2285,F1023_V70_D0120_P9__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G26,2285,2026-01-20T15:36:15.680Z,Special Reflective,bridge over wide water surface,bridge over water,73,HIGH,1,1,1,1,0.18,0.18,0.18,1.75953079179e-07,52.7494060997,-29.454645324,-29.454645324,0,-29.454645324,-19.5143035547,-19.5143035547,-19.5143035547,complete
parameters_20260825_stage4_path_v1,stage4-confirmed-path-parameters-v1,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1__event_755,F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,755,2026-01-20T15:36:15.080Z,Special Reflective,bridge over wide water surface,bridge over water,22,LOW,1,1,1,1,0.33,0.33,0.33,3.22580645161e-07,96.7072445161,54.7545501803,54.7545501803,0,54.7545501803,-3.66764242119,-3.66764242119,-3.66764242119,complete
