event_id,run_id,scene_id,prn,center_window_id,recording_time_s,tow_s,event_utc,elevation_deg,azimuth_deg,tracking_cn0_db_hz,nmea_snr_db_hz,vehicle_speed_kmh,speed_source,geometry_join_status,geometry_join_valid,geometry_join_method,geometry_source_utc,geometry_time_delta_s,time_alignment_id,missing_reason,observation_quality,derivation_version,context_alignment_version
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_465,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,465,56.0485012707722,562737.28,2026-01-17T12:18:39.280Z,56.000,207.000,45.7217254638672,46.000,49.8484320000147,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:38.980Z,0.3,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__event_436,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,436,55.4786997067449,562736.7,2026-01-17T12:18:38.700Z,,,43.0529670715332,,49.6498975999963,NMEA_RMC,unavailable,0,tow_to_utc_nearest_gsv,,,F1023_V70_D0117_P4__tow_to_utc_v1,geometry_prn_missing_in_timeseries,warning,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_57,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,57,47.8943080156403,562729.12,2026-01-17T12:18:31.120Z,28.000,250.000,45.2194175720215,45.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:31.980Z,0.86,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,58,47.914308113392,562729.14,2026-01-17T12:18:31.140Z,28.000,250.000,45.1924781799316,45.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:31.980Z,0.84,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_275,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,275,52.2543278592375,562733.48,2026-01-17T12:18:35.480Z,28.000,250.000,46.1730918884277,46.000,49.9114000000202,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:34.980Z,0.5,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,357,53.8943353861193,562735.12,2026-01-17T12:18:37.120Z,28.000,250.000,45.5603408813477,46.000,51.3326248000159,NMEA_RMC,valid,1,tow_to_utc_nearest_gsv,2026-01-17T12:18:36.980Z,0.14,F1023_V70_D0117_P4__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,76,38.6278365591398,228097.5,2026-01-20T15:21:19.500Z,74.000,250.000,47.8922653198242,49.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:20.000Z,0.5,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_77,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,77,38.6478366568915,228097.52,2026-01-20T15:21:19.520Z,74.000,250.000,47.9944267272949,49.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:20.000Z,0.48,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,78,38.6678367546432,228097.54,2026-01-20T15:21:19.540Z,74.000,250.000,48.0359840393066,49.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:21:20.000Z,0.46,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_2581,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,2581,88.728,228147.6,2026-01-20T15:22:09.600Z,74.000,249.000,48.6736831665039,49.000,NaN,fallback_120_kmh,valid,1,tow_to_utc_nearest_gsv,2026-01-20T15:22:09.000Z,0.6,F1023_V70_D0120_P1__tow_to_utc_v1,,valid,sage-event-path-derivation-v1,sage-event-context-alignment-v1
