candidate_index,component_count,pooling_kappa,held_out_scene,train_scene_count,test_row_count,test_weight,weighted_nlpd,energy_score,status
9,3,8,F1023_V70_D0120_P5,8,55,23,3.21797533365,2.71500586111,VALID
9,3,8,F1023_V70_D0120_P7,8,49,26,5.52534700936,3.02678673134,VALID
9,3,8,F1023_V70_D0120_P8,8,62,25,2.43383486744,3.48323338608,VALID
9,3,8,F1023_V70_D0122_P1,8,98,46,3.96879981495,4.15653153421,VALID
9,3,8,F1023_v50_D0127_P1,8,19,8,2.65730739361,3.46282521971,VALID
9,3,8,F1023_v90_D0117_P7,8,53,27,2.25427770153,2.81008915664,VALID
10,3,16,F1023_V70_D0117_P2,8,57,26,2.94690022084,2.93289319065,VALID
10,3,16,F1023_V70_D0117_P4,8,62,28,2.40046741155,2.88791719774,VALID
10,3,16,F1023_V70_D0120_P1,8,63,27,3.08292535282,3.17285230719,VALID
10,3,16,F1023_V70_D0120_P5,8,55,23,3.22907626454,2.81370794641,VALID
10,3,16,F1023_V70_D0120_P7,8,49,26,5.51955500276,3.08373409292,VALID
10,3,16,F1023_V70_D0120_P8,8,62,25,2.44929729234,3.54579529642,VALID
10,3,16,F1023_V70_D0122_P1,8,98,46,3.92399450619,3.98998904533,VALID
10,3,16,F1023_v50_D0127_P1,8,19,8,2.66035980939,3.46476516086,VALID
10,3,16,F1023_v90_D0117_P7,8,53,27,2.25257507923,2.85219649179,VALID
11,3,32,F1023_V70_D0117_P2,8,57,26,2.95878863176,2.97328163492,VALID
11,3,32,F1023_V70_D0117_P4,8,62,28,2.40671101653,2.84031286642,VALID
11,3,32,F1023_V70_D0120_P1,8,63,27,3.08151376078,3.11588491203,VALID
11,3,32,F1023_V70_D0120_P5,8,55,23,3.23175400848,2.87101439497,VALID
11,3,32,F1023_V70_D0120_P7,8,49,26,6.64309791764,3.07476037508,VALID
11,3,32,F1023_V70_D0120_P8,8,62,25,2.46426927873,3.52995942359,VALID
11,3,32,F1023_V70_D0122_P1,8,98,46,3.86757372177,3.86214168498,VALID
11,3,32,F1023_v50_D0127_P1,8,19,8,2.6678868242,3.53297103931,VALID
11,3,32,F1023_v90_D0117_P7,8,53,27,2.25479184752,2.7813589475,VALID
