event_path_id,event_id,run_id,scene_id,prn,tracking_channel,center_window_id,path_id,estimate_stage,path_role,is_multipath,delay_samples,excess_delay_samples,excess_delay_chips,excess_delay_s,derived_excess_path_length_m,doppler_hz,doppler_offset_hz,relative_power_db,source_power_field,amplitude,phase_rad,coherence,label_value,label_rule_version,source_file,source_file_sha256,source_row_number,modeling_eligibility,missing_reason,schema_version
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_559__path_1,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_559,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,6,559,1,stage4_joint,los,0,2.22044604925031e-16,0,0,,,-2703.88354492188,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage4_joint_paths.csv,a2cc830b27cae42ae9dcde1db5d411b2261412c4fcb2512fb28aeff18172de00,8,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_307__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_307,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,307,1,stage4_joint,los,0,0,0,0,,,-2980.49462890625,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,2,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_308__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_308,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,308,1,stage4_joint,los,0,0,0,0,,,-2980.63720703125,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,3,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_309__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_309,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,309,1,stage4_joint,los,0,0,0,0,,,-2983.24780273438,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,4,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_347__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,347,1,stage4_joint,los,0,0.2,0,0,,,-2978.90795898438,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,5,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,348,1,stage4_joint,los,0,1.11022302462516e-16,0,0,,,-2981.17602539062,0,0,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,6,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348__path_2,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,348,2,stage4_joint,multipath,1,1.1,1.1,0.11,,,-2975.80646914709,5.3695562435355,-7.8940584298249,mean_relative_power_db,,,,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,7,eligible_pending_modeling_qa,,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_349__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,349,1,stage4_joint,los,0,0.2,0,0,,,-2978.35327148438,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,8,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,464,1,stage4_joint,los,0,0.1,0,0,,,-2977.16845703125,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,9,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_465__path_1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_465,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,9,465,1,stage4_joint,los,0,0,0,0,,,-2977.41479492188,0,0,mean_relative_power_db,,,,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_paths.csv,c368bf9b8eb768f46651a3057e954be651706bd9b07781075af5e222838fb52b,10,eligible_pending_modeling_qa,stage4_source_has_no_path_amplitude_phase_coherence,sage-event-path-db-v1
