event_id,run_id,logical_run_key,scene_id,prn,tracking_channel,center_window_id,recording_time_s,stage2_L,joint_selected_L,joint_multipath_count,joint_rss,joint_bic,snapshot_wins_vs_L1,minimum_multipath_power_db,maximum_relative_doppler_hz,maximum_coherence,joint_valid,event_status,label_rule_version,source_file,source_file_sha256,source_row_number,request_id,qa_status,modeling_eligibility,schema_version
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_308,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,308,52.9084954056696,4,1,0,1017277.65872328,-11287.9032410751,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,3,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_309,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,309,52.9284955034213,4,1,0,1017406.07293175,-11029.6464252584,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,4,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,347,53.6884968719453,4,1,0,1016688.94354648,-12472.299566983,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,5,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,348,53.7084968719453,4,2,1,1016455.96381262,-12766.8284211578,5,-7.8940584298249,5.3695562435355,0.869557088851696,1,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,6,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,349,53.728496969697,4,1,0,1016736.67184623,-12376.2526788552,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,7,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,464,56.0285012707722,3,1,0,1017723.05640714,-10392.2930636921,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,8,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_465,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2,F1023_V70_D0117_P4,G29,9,465,56.0485012707722,3,1,0,1017777.32044889,-10283.2051650117,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage4_joint_summary.csv,0041f255a4726236d148aca1834573f93b87d27382dbd9c1d8e8878c4c00d8ca,9,windows_unattended_F1023_V70_D0117_P4__G29_20260819T004818Z_010,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__event_436,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2,F1023_V70_D0117_P4,G31,1,436,55.4786997067449,2,1,0,1020159.22069132,-5500.55367736262,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G31/stage4_joint_summary.csv,c1013b9958a9dbbb137a4044e2d37c985c0b5db35ea7a2b56e3486ac9c8f0504,2,windows_unattended_F1023_V70_D0117_P4__G31_20260819T004818Z_011,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_57,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2,F1023_V70_D0117_P4,G32,3,57,47.8943080156403,3,1,0,1018409.77948752,-9012.19108707822,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage4_joint_summary.csv,7225e7a775021ac9c16abd9131bb50d13a1d9283382c00936464db024bfb4fd5,2,windows_unattended_F1023_V70_D0117_P4__G32_20260819T004818Z_012,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2,F1023_V70_D0117_P4,G32,3,58,47.914308113392,3,1,0,1018757.16453744,-8314.40849139037,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage4_joint_summary.csv,7225e7a775021ac9c16abd9131bb50d13a1d9283382c00936464db024bfb4fd5,3,windows_unattended_F1023_V70_D0117_P4__G32_20260819T004818Z_012,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_275,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2,F1023_V70_D0117_P4,G32,3,275,52.2543278592375,3,1,0,1016441.00093951,-12971.3238204611,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage4_joint_summary.csv,7225e7a775021ac9c16abd9131bb50d13a1d9283382c00936464db024bfb4fd5,4,windows_unattended_F1023_V70_D0117_P4__G32_20260819T004818Z_012,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2,F1023_V70_D0117_P4,G32,3,357,53.8943353861193,2,2,1,1017398.05698487,-10871.3897627719,5,-3.49096986532041,4.05839928034675,0.876701382343094,1,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage4_joint_summary.csv,7225e7a775021ac9c16abd9131bb50d13a1d9283382c00936464db024bfb4fd5,5,windows_unattended_F1023_V70_D0117_P4__G32_20260819T004818Z_012,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2,F1023_V70_D0120_P1,G26,3,76,38.6278365591398,4,2,1,1013272.40120856,-19185.0019477064,5,-8.15201281759688,9.66430209528517,0.832805603516232,1,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_summary.csv,b19b3ae5844aa7daaf6d8282e211ed91c08d4d3148efef6ecee163213ee22d71,2,windows_unattended_F1023_V70_D0120_P1__G26_20260819T004818Z_013,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_77,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2,F1023_V70_D0120_P1,G26,3,77,38.6478366568915,4,1,0,1013030.64575971,-19847.5896475601,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_summary.csv,b19b3ae5844aa7daaf6d8282e211ed91c08d4d3148efef6ecee163213ee22d71,3,windows_unattended_F1023_V70_D0120_P1__G26_20260819T004818Z_013,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2,F1023_V70_D0120_P1,G26,3,78,38.6678367546432,4,2,1,1012564.21632588,-20615.4690608613,5,-7.65772309879221,9.66430209528517,0.83280560352743,1,confirmed_multipath,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_summary.csv,b19b3ae5844aa7daaf6d8282e211ed91c08d4d3148efef6ecee163213ee22d71,4,windows_unattended_F1023_V70_D0120_P1__G26_20260819T004818Z_013,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_2581,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2,F1023_V70_D0120_P1,G26,3,2581,88.728,4,1,0,1011681.75375718,-22573.7382562626,5,NaN,0,0,1,rejected_candidate,stage4-strict-confirmed-v1,scenes/F1023_V70_D0120_P1/sage_results/nav_sage_v2/G26/stage4_joint_summary.csv,b19b3ae5844aa7daaf6d8282e211ed91c08d4d3148efef6ecee163213ee22d71,5,windows_unattended_F1023_V70_D0120_P1__G26_20260819T004818Z_013,pass,eligible_pending_modeling_qa,sage-event-path-db-v1
