candidate_id,run_id,scene_id,prn,center_window_id,recording_time_s,selected_L,multipath_count,minimum_path_run,reliable_multipath,candidate_status,event_id,source_file,source_file_sha256,source_row_number,modeling_eligibility,schema_version
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_557,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,557,57.8914086999023,3,2,4,1,rejected_candidate,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_557,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage3_reliable_centers.csv,33a2a0e94422a23b1dc1778fdd85ca41f63e8994bb19f1002bd7d53df32af9d4,2,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_558,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,558,57.9114086999022,3,2,4,1,rejected_candidate,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_558,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage3_reliable_centers.csv,33a2a0e94422a23b1dc1778fdd85ca41f63e8994bb19f1002bd7d53df32af9d4,3,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_18,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,18,47.1113903225806,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_18,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage3_reliable_centers.csv,33a2a0e94422a23b1dc1778fdd85ca41f63e8994bb19f1002bd7d53df32af9d4,4,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_58,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,58,47.9113916911046,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage3_reliable_centers.csv,33a2a0e94422a23b1dc1778fdd85ca41f63e8994bb19f1002bd7d53df32af9d4,5,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_409,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,409,54.9314036168133,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_409,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage3_reliable_centers.csv,33a2a0e94422a23b1dc1778fdd85ca41f63e8994bb19f1002bd7d53df32af9d4,6,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_556,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,556,57.8714086021505,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_556,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage3_reliable_centers.csv,33a2a0e94422a23b1dc1778fdd85ca41f63e8994bb19f1002bd7d53df32af9d4,7,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_559,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G28,559,57.9314086999022,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1__event_559,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G28/stage3_reliable_centers.csv,33a2a0e94422a23b1dc1778fdd85ca41f63e8994bb19f1002bd7d53df32af9d4,8,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_307,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,307,52.8884954056696,4,3,3,1,rejected_candidate,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_307,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,2,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_308,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,308,52.9084954056696,4,3,3,1,rejected_candidate,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_308,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,3,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_309,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,309,52.9284955034213,4,3,3,1,rejected_candidate,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_309,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,4,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_347,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,347,53.6884968719453,4,3,3,1,rejected_candidate,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_347,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,5,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_348,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,348,53.7084968719453,4,3,3,1,confirmed_multipath,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_348,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,6,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_349,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,349,53.728496969697,4,3,3,1,rejected_candidate,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_349,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,7,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,464,56.0285012707722,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,8,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_465,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,465,56.0485012707722,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_465,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,9,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_466,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,466,56.0685013685239,3,2,3,1,not_joint_evaluated,,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,10,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_876,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,876,64.2685167155425,3,2,3,1,not_joint_evaluated,,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,11,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_252,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,252,51.7884933528837,2,1,3,1,not_joint_evaluated,,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,12,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_253,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,253,51.8084933528837,2,1,3,1,not_joint_evaluated,,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G29/stage3_reliable_centers.csv,754a65321d41bfc6c77da740db713d895061201c5af4ab363d2d6c39eb276792,13,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_436,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,436,55.4786997067449,2,1,3,1,rejected_candidate,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__event_436,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G31/stage3_reliable_centers.csv,95113274803dc3b9af96857dfa8cd05416537d707d7c8815cd11fedca4324584,2,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_57,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,57,47.8943080156403,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_57,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage3_reliable_centers.csv,8f431820900be9096d3ff1e6777a0eb063cd3734c476e3975b8fa10b2da09a2b,2,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_58,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,58,47.914308113392,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage3_reliable_centers.csv,8f431820900be9096d3ff1e6777a0eb063cd3734c476e3975b8fa10b2da09a2b,3,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_275,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,275,52.2543278592375,3,2,3,1,rejected_candidate,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_275,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage3_reliable_centers.csv,8f431820900be9096d3ff1e6777a0eb063cd3734c476e3975b8fa10b2da09a2b,4,eligible_pending_modeling_qa,sage-event-path-db-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__candidate_357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,357,53.8943353861193,2,1,3,1,confirmed_multipath,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357,scenes/F1023_V70_D0117_P4/sage_results/nav_sage_v2/G32/stage3_reliable_centers.csv,8f431820900be9096d3ff1e6777a0eb063cd3734c476e3975b8fa10b2da09a2b,5,eligible_pending_modeling_qa,sage-event-path-db-v1
