event_id,run_id,scene_id,prn,event_status,confirmed_event,event_utc,environment_class,geometry_join_status,geometry_join_valid,include_in_environment_modeling,include_in_elevation_modeling,exclusion_reason,alignment_id,alignment_version
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_464,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:39.260Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1__event_465,F1023_V70_D0117_P4__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G29,rejected_candidate,0,2026-01-17T12:18:39.280Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1__event_436,F1023_V70_D0117_P4__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G31,rejected_candidate,0,2026-01-17T12:18:38.700Z,Mountain/Valley,unavailable,0,1,0,geometry_prn_missing_in_timeseries,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_57,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,rejected_candidate,0,2026-01-17T12:18:31.120Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_58,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,rejected_candidate,0,2026-01-17T12:18:31.140Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_275,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,rejected_candidate,0,2026-01-17T12:18:35.480Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_357,F1023_V70_D0117_P4__G32__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P4,G32,confirmed_multipath,1,2026-01-17T12:18:37.120Z,Mountain/Valley,valid,1,1,1,,F1023_V70_D0117_P4__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_76,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,confirmed_multipath,1,2026-01-20T15:21:19.500Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_77,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,rejected_candidate,0,2026-01-20T15:21:19.520Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_78,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,confirmed_multipath,1,2026-01-20T15:21:19.540Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_2581,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,rejected_candidate,0,2026-01-20T15:22:09.600Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_2582,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,rejected_candidate,0,2026-01-20T15:22:09.620Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_2583,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,rejected_candidate,0,2026-01-20T15:22:09.640Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_597,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,rejected_candidate,0,2026-01-20T15:21:29.920Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1__event_598,F1023_V70_D0120_P1__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G26,rejected_candidate,0,2026-01-20T15:21:29.940Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1__event_429,F1023_V70_D0120_P1__G27__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G27,rejected_candidate,0,2026-01-20T15:21:26.560Z,Urban,valid,1,1,1,,F1023_V70_D0120_P1__tow_to_utc_v1,sage-event-context-alignment-v1
