run_id,scene_id,prn,confirmed_event_count,run_label,physical_los_claim,modeling_eligibility,exclusion_or_context_note,schema_version
F1023_V70_D0122_P1__G14__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G14,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0122_P2__G10__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G10,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0122_P2__G13__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G13,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0122_P2__G19__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G19,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V80_D0117_P8__G12__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G12,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V80_D0117_P8__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G31,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V80_D0117_P8__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G32,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_v90_D0117_P7__G12__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v90_D0117_P7,G12,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_v90_D0117_P7__G29__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v90_D0117_P7,G29,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
F1023_V70_D0117_P2__G25__ch0__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G25,0,los_reference,0,eligible_pending_modeling_qa,explicit reference control,sage-event-path-db-v1
F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G28,0,no_confirmed_event,0,eligible_pending_modeling_qa,no confirmed event under strict Stage4 rule,sage-event-path-db-v1
