run_id,scene_id,prn,acceptance_class,context_missing_legacy,modeling_eligibility,include_in_modeling_ready_input,exclusion_reason,schema_version
F1023_V70_D0120_P1__G31__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P1,G31,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P5__G18__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G18,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P5__G23__ch0__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G23,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P5__G26__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G26,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P5__G27__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P5,G27,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P7__G18__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G18,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P7__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G26,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P7__G31__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P7,G31,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P8__G16__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G16,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P8__G18__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G18,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P8__G23__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G23,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P8__G26__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P8,G26,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P9__G16__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G16,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P9__G18__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G18,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P9__G26__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G26,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P9__G27__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G27,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P9__G28__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G28,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P9__G29__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G29,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0120_P9__G31__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0120_P9,G31,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P1__G13__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G13,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P1__G14__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G14,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P1__G15__ch8__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G15,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P1__G17__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G17,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P1__G19__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G19,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P1__G22__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G22,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P1__G24__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P1,G24,formal_accepted_production,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P2__G10__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G10,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P2__G12__ch2__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G12,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P2__G13__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G13,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P2__G19__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G19,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P2__G23__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G23,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0122_P2__G24__ch3__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0122_P2,G24,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V80_D0117_P8__G12__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G12,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V80_D0117_P8__G28__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G28,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V80_D0117_P8__G29__ch9__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G29,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V80_D0117_P8__G31__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G31,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V80_D0117_P8__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V80_D0117_P8,G32,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v90_D0117_P7__G12__ch10__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v90_D0117_P7,G12,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v90_D0117_P7__G25__ch0__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v90_D0117_P7,G25,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v90_D0117_P7__G28__ch4__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v90_D0117_P7,G28,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v90_D0117_P7__G29__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v90_D0117_P7,G29,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_v90_D0117_P7__G32__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_v90_D0117_P7,G32,validated_only,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P2__G06__ch4__G06_nav_sage_v1__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G06,reference_validation,1,excluded_legacy_context_missing,0,legacy_context_missing,sage-event-path-db-v1
F1023_V70_D0117_P2__G11__ch5__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G11,reference_validation,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P2__G12__ch6__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G12,reference_validation,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P2__G25__ch0__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G25,reference_validation,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P2__G28__ch1__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G28,reference_validation,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P2__G29__ch7__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G29,reference_validation,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
F1023_V70_D0117_P2__G32__ch11__nav_sage_v2__ingestion_20260825_event_path_v1,F1023_V70_D0117_P2,G32,reference_validation,0,eligible_pending_modeling_qa,1,pending_modeling_readiness_qa,sage-event-path-db-v1
